"ABELehigh Valley International", Allentown, PA,ABE,"Lehigh Valley International"
"ABIAbilene Regional", Abilene, TX,ABI,"Abilene Regional"
"ABQAlbuquerque International Sunport", Albuquerque, NM,ABQ,"Albuquerque International Sunport"
"ABYSouthwest Georgia Regional", Albany, GA,ABY,"Southwest Georgia Regional"
"ACKNantucket Memorial", Nantucket, MA,ACK,"Nantucket Memorial"
"ACTWaco Regional", Waco, TX,ACT,"Waco Regional"
"ACVArcata", Arcata, CA,ACV,"Arcata"
"ACYAtlantic City International", Atlantic City, NJ,ACY,"Atlantic City International"
"ADQKodiak", Kodiak, AK,ADQ,"Kodiak"
"AEXAlexandria Intl", Alexandria, LA,AEX,"Alexandria Intl"
"AGSAugusta Regional", Augusta, GA,AGS,"Augusta Regional"
"AKNKing Salmon", King Salmon, AK,AKN,"King Salmon"
"ALBAlbany International", Albany, NY,ALB,"Albany International"
"ALOWaterloo Municipal", Waterloo, IA,ALO,"Waterloo Municipal"
"AMAAmarillo International", Amarillo, TX,AMA,"Amarillo International"
"ANCTed Stevens Anchorage International", Anchorage, AK,ANC,"Ted Stevens Anchorage International"
"ANIAniak", Aniak, AK,ANI,"Aniak"
"ATLHartsfield-Jackson Atlanta International", Atlanta, GA,ATL,"Hartsfield-Jackson Atlanta International"
"ATWOutagamie County Regional", Appleton, WI,ATW,"Outagamie County Regional"
"AUSAustin-Bergstrom International", Austin, TX,AUS,"Austin-Bergstrom International"
"AVLAsheville Regional", Asheville, NC,AVL,"Asheville Regional"
"AVPWilkes-BarreScranton International", ScrantonWilkes-Barre, PA,AVP,"Wilkes-BarreScranton International"
"AZOKalamazooBattle Creek International", Kalamazoo, MI,AZO,"KalamazooBattle Creek International"
"BDLBradley International", Hartford, CT,BDL,"Bradley International"
"BETBethel", Bethel, AK,BET,"Bethel"
"BFLMeadows Field", Bakersfield, CA,BFL,"Meadows Field"
"BGMBinghamton Regional", Binghamton, NY,BGM,"Binghamton Regional"
"BGRBangor International", Bangor, ME,BGR,"Bangor International"
"BHMBirmingham International", Birmingham, AL,BHM,"Birmingham International"
"BILBillings Logan International", Billings, MT,BIL,"Billings Logan International"
"BISBismarck Municipal", Bismarck, ND,BIS,"Bismarck Municipal"
"BMICentral Illinois Regional", Bloomington, IL,BMI,"Central Illinois Regional"
"BNANashville International", Nashville, TN,BNA,"Nashville International"
"BOIBoise", Boise, ID,BOI,"Boise"
"BOSLogan International", Boston, MA,BOS,"Logan International"
"BPTSoutheast Texas Regional", Beaumont, TX,BPT,"Southeast Texas Regional"
"BQKGlynco Jetport", Brunswick, GA,BQK,"Glynco Jetport"
